NWS ID,River,Location,Forecast Condition,Point Type,Observed Date (Day,Latest Flow,Latest Stage,Flood Stage,Bankfull Stage,HUC,State,HSA,Elevation,Forecast Group,Segment
dckn2,Duck Ck , Broadbent Ave,1,1,20.15,210,4.47,,9.7,15010015,NV,VEF,1605,MUDLV,17
mdea3,Dysart , El Mirage,1,1,20.15,0,0.3,,12,15070102,AZ,PSR,1052,AGUAFRIA,25
eccu1,E Canyon Cr , Morgan  Nr,1,1,20.15,10,0.21,2.5,2.2,16020102,UT,SLC,5460,WEBER,15
ealc2,Eagle , Avon,1,1,20.15,63,2.67,,8,14010003,CO,GJT,7380,COLPAL,8
gpsc2,Eagle , Gypsum  Blo,1,1,20.15,213,4.33,9,7.5,14010003,CO,GJT,6275,COLPAL,9
rerc2,Eagle , Redcliff,1,1,20.15,e12,e2.93,,5,14010003,CO,GJT,8654,COLPAL,2
ecma3,Eagle Ck , Morenci  Nr  Pumping Plant  Abv,1,1,20.15,34,1.79,15,10,15040005,AZ,TWC,3674,UPGILA,12
alec2,East , Almont,1,1,20.15,e87,e2.73,7,6.3,14020001,CO,GJT,8006,GUN,5
ecau1,East Canyon Ck , Jeremy Ranch  Nr,1,1,20.15,18,4.8,8.1,7.9,16020102,UT,SLC,6240,WEBER,13
ecpu1,East Canyon Ck , Park City  Nr,1,1,20.15,e12,e5.46,9.3,8.8,16020102,UT,SLC,6360,WEBER,12
effu1,East Fork Virgin , Glendale  Nr,1,1,20.15,31,10.63,,15.1,15010008,UT,SLC,5900,VIRGIN,2
estu1,East Fork Virgin , Springdale  Nr,1,1,20.15,127,6.02,,,15010008,UT,SLC,3940,VIRGIN,3
evda3,East Verde , Childs  Nr,1,1,20.15,22,10.68,,29.4,15060203,AZ,FGZ,2500,VERDE,15
srku1,Ef Sevier , Kingston  Nr,1,1,20.15,28,3.43,9,8,16030002,UT,SLC,6160,SEV_H,5
sfrw4,Ef Smiths Fork , Robertson  Nr,1,1,19.22,e9,e3.66,7.7,6.5,14040107,WY,SLC,8470,GREEN,19
